,Demand,Lost Load,RES production,Bat Inflow,Bat Outflow,Curtailment,Genset production,Bat SoC,Diesel consumption
2011-01-01 20:00:00,152.5,0.0,0.0,0.0002826835133461665,1374.5003159077814,3.357424762615978e-05,9.947226207572605e-08,286896.7924992779,3.369656574380964e-08
2011-01-01 20:01:00,158.0,0.0,0.0,0.00028485584346084943,1367.802025350618,3.365430531961493e-05,9.944189845583247e-08,285457.00116427435,3.3686279964712897e-08
2011-01-01 20:02:00,156.9,0.0,0.0,0.0002811640373248615,1365.501304553446,3.363516693986912e-05,9.678151634306649e-08,284019.6316371134,3.278506651187889e-08
2011-01-01 20:03:00,156.3,0.0,0.0,0.00027898122987372355,1385.7991685146924,3.358807215723927e-05,9.60948377395572e-08,282560.895935288,3.255245180879309e-08
2011-01-01 20:04:00,154.7,0.0,0.0,0.00027924861738890406,1406.2004410250288,3.366173695937214e-05,9.517538998516066e-08,281080.6852100215,3.224098576733085e-08
2011-01-01 20:05:00,154.2,0.0,0.0,0.0002873828969872502,1411.5008653390514,3.3601802467068813e-05,1.0116198316104111e-07,279594.8950984679,3.4268964485447535e-08
2011-01-01 20:06:00,152.6,0.0,0.0,0.0002863900493272377,1344.901563943455,3.366054088780276e-05,9.825371614044251e-08,278179.2095137476,3.328377918036671e-08
2011-01-01 20:07:00,154.9,0.0,0.0,0.00028280317113715554,1348.6999263543057,3.364563499426802e-05,9.691589194042089e-08,276759.5256494061,3.2830586700684585e-08
2011-01-01 20:08:00,150.0,0.0,0.0,0.0002795420759098008,1530.9021259263857,3.360028294198332e-05,9.525505563419377e-08,275148.04999294324,3.2267972775810896e-08
2011-01-01 20:09:00,146.7,0.0,0.0,0.00027989660217791427,1441.7033850348632,3.3674115551403566e-05,9.461209978403388e-08,273630.467748282,3.205016930353451e-08
2011-01-01 20:10:00,151.3,0.0,0.0,0.0002918216697218017,1501.6052905933923,3.3632584427191794e-05,1.023514867987606e-07,272049.83087751956,3.467191287220888e-08
2011-01-01 20:11:00,148.9,0.0,0.0,0.0002874053871979292,1549.5116954972661,3.366581920105721e-05,9.751253871121108e-08,270418.7662079596,3.3032702815450907e-08
2011-01-01 20:12:00,147.5,0.0,0.0,0.00028228277288985457,1646.4138740391265,3.3657401838892436e-05,9.529497455474003e-08,268685.6992402976,3.228149544537264e-08
2011-01-01 20:13:00,149.2,0.0,0.0,0.00028083753380324546,1649.5668133720508,3.3603273806417463e-05,9.579142124192966e-08,266949.31338775426,3.24496684423881e-08
2011-01-01 20:14:00,150.8,0.0,0.0,0.00028097049919531027,1592.6037252650906,3.368095826267546e-05,9.553718377884178e-08,265272.888680713,3.236354464052906e-08
2011-01-01 20:15:00,148.6,0.0,0.0,0.00029368406054238426,1513.7015162411979,3.364042942959861e-05,1.0068931371426586e-07,263679.5189426169,3.410884610916865e-08
