,Lost_Load 1,PV_Energy 1,Battery_Flow_Out 1,Battery_Flow_in 1,Curtailment 1,Energy_Demand 1,SOC 1,Gen energy 1,Diesel 1
2011-01-02 13:00:00,6.29800466834e-06,0.0,0.000115456641043,0.000124982213713,0.000431765216149,56.9,0.000744804033568,56.9212815589,0.0191847932453
2011-01-02 14:00:00,6.16734905782e-06,0.0,0.000114716256166,0.000125866845057,0.000430822997259,55.0,0.000743623582514,55.0242409865,0.0185454132074
2011-01-02 15:00:00,6.09043818836e-06,0.0,0.000113780864666,0.000126955524766,0.000420736396414,50.7,0.000744461999814,50.7343454129,0.0170995434489
2011-01-02 16:00:00,6.29125084882e-06,0.0,0.000113742788828,0.000127187135522,0.000428428865014,49.3,0.000745560527161,49.3488448044,0.0166325732404
2011-01-02 17:00:00,6.23248847136e-06,0.0,0.000113505695674,0.000127570073443,0.000421562985373,49.0,0.000747272417275,49.1074712969,0.0165512205248
2011-01-02 18:00:00,6.19670559611e-06,0.0,0.000112699929969,0.000128448311117,0.000431538337729,51.1,0.000750666807606,51.8343652453,0.0174702949934
2011-01-02 19:00:00,6.01852732094e-06,0.0,0.000111760597302,0.000129444284882,0.000442040747124,51.2,0.000755996144242,51.9229658166,0.0175001569992
2011-01-02 20:00:00,6.04507977703e-06,0.0,0.000112792123536,0.000128460537358,0.000434877377337,52.8,0.000759305103641,52.8582414086,0.017815383016
2011-01-02 21:00:00,6.25993827254e-06,0.0,0.000113583898767,0.000127693423603,0.000439223089018,53.2,0.000761051857362,53.2527173732,0.0179483375036
2011-01-02 22:00:00,6.19690044218e-06,0.0,0.000113422384023,0.00012791740284,0.000433456424645,52.3,0.000763181406878,52.3507899334,0.0176443511741
2011-01-02 23:00:00,6.13569157839e-06,0.0,0.000112834285839,0.00012850692832,0.00043563961048,52.1,0.00076649005632,52.1499824904,0.0175766708764
2011-01-03 00:00:00,6.10762370477e-06,0.0,0.000112717508548,0.000128559667411,0.000430544060499,53.0,0.000769971731362,53.0490974538,0.0178797092868
2011-01-03 01:00:00,6.02235952989e-06,0.0,0.000113195279347,0.000128082267864,0.00042768229423,53.4,0.000772496960204,53.4495417418,0.0180146753427
2011-01-03 02:00:00,6.2326900042e-06,0.0,0.000114729899527,0.000126481164417,0.000432545843864,55.3,0.000771885751109,55.3473074942,0.0186542997958
2011-01-03 03:00:00,6.20200765943e-06,0.0,0.000115853746482,0.000125355667916,0.000428172487588,56.7,0.000769022323542,56.744392363,0.0191251743724
2011-01-03 04:00:00,6.08872729186e-06,0.0,0.00011507516956,0.000126107714634,0.000428235779388,54.6,0.000767692895013,54.6432974609,0.0184170197037
2011-01-03 05:00:00,6.09028067861e-06,0.0,0.000115039157819,0.000126075724001,0.000424288910658,54.4,0.000766370982478,54.4377915519,0.0183477558315
