,Demand,Lost Load,Curtailment,Electric resistance consumption,RES production,BESS outflow,BESS inflow,Genset production,Diesel consumption,BESS state of charge
2017-01-07 13:43:00,79.885,0.0,0.00012416319231078887,455.8913282418361,2.8170716701218078e-08,1.2686911871184498e-05,1.4209838482083948e-05,535.7764538997843,3.024934811990652,8.549231158990698e-05
2017-01-07 13:44:00,76.792,0.0,0.00012793658765986038,536.8703429254775,2.8170716701218078e-08,1.2676754553741414e-05,1.4219557337967655e-05,613.6624723766972,3.4646706886669896,8.549505537839425e-05
2017-01-07 13:45:00,78.897,0.0,0.00012810835517029773,535.9493280862381,2.8170716701218078e-08,1.2690501207108032e-05,1.4207183361253936e-05,614.8464576831047,3.4713553392225878,8.549736207622624e-05
2017-01-07 13:46:00,78.347,0.0,0.0001267642819300363,509.1573133378636,2.8170716701218078e-08,1.2687820311039957e-05,1.4209393694567885e-05,587.5044415955482,3.3169853296948295,8.549977073850903e-05
2017-01-07 13:47:00,80.425,0.0,0.00012461131970553652,460.0272984900708,2.8170716701218078e-08,1.2686562105608621e-05,1.4210192347444356e-05,540.45242459685,3.051334827217988,8.550219418566621e-05
2017-01-07 13:48:00,77.915,0.0,0.0001271036250329871,511.6463026610747,2.8170716701218078e-08,1.2678469870766335e-05,1.421783572151886e-05,589.5614312758948,3.3285988667338238,8.550488062194524e-05
2017-01-07 13:49:00,79.068,0.0,0.0001244945861742508,455.5952889970456,2.8170716701218078e-08,1.2677728626493126e-05,1.421811784961275e-05,534.6634150038502,3.0186507170497414,8.550758452953791e-05
2017-01-07 13:50:00,82.236,0.0,0.00012665359318475566,489.97729571270867,2.7773946043454448e-08,1.268777833503482e-05,1.4209452062169869e-05,572.2134238602016,3.230653928750009,8.550997491815323e-05
2017-01-07 13:51:00,81.069,0.0,0.00013062878159075808,562.5003124438263,2.7773946043454448e-08,1.267817074468696e-05,1.4218659652048566e-05,643.5694445853229,3.6335221577762136,8.55126995820696e-05
2017-01-07 13:52:00,78.832,0.0,0.00015468304007981715,547.2384859779776,2.7773946043454448e-08,1.2652734544347155e-05,1.424548918117774e-05,626.0706422259983,3.5347258481594306,8.551627536174796e-05
2017-01-07 13:53:00,77.617,0.0,0.00015560443787876466,555.1784886071059,2.7773946043454448e-08,1.264725056429974e-05,1.4250609930551317e-05,632.7956457871293,3.5726944771179387,8.552002843013433e-05
2017-01-07 13:54:00,77.149,0.0,0.00016250046073196245,601.8735066370906,2.7773946043454448e-08,1.2637165715990214e-05,1.426094407434137e-05,679.0226707335557,3.8336871653881874,8.552412204962737e-05
2017-01-07 13:55:00,77.446,0.0,0.00012929932157135227,544.8433082582299,2.7773946043454448e-08,1.2679167923748506e-05,1.4217642364032588e-05,622.2894390682519,3.5133775918487573,8.552679317786931e-05
2017-01-07 13:56:00,74.506,0.0,0.00012965602499548368,554.2413096564444,2.7773946043454448e-08,1.2673990129941732e-05,1.4222366290088904e-05,628.7474408330716,3.549838758090964,8.552964987434009e-05
2017-01-07 13:57:00,74.217,0.0,0.00012698582233383604,501.9412882549524,2.7773946043454448e-08,1.2672998423416022e-05,1.4222868260799779e-05,576.1584167628706,3.252926923909613,8.553251198279545e-05
2017-01-07 13:58:00,72.636,0.0,0.00014406393816557284,458.2794498982069,2.7773946043454448e-08,1.2652872262409152e-05,1.4243414020473442e-05,530.9155955249129,2.9974909413104838,8.55360524896563e-05
2017-01-07 13:59:00,76.316,0.0,0.00013939357711478806,403.25143506764493,2.7773946043454448e-08,1.2653007991892794e-05,1.4242480476044398e-05,479.56757602292055,2.7075856821528936,8.553957583417801e-05
2017-01-07 14:00:00,74.591,0.0,0.00013678875791356404,387.7384300274033,2.95594140033908e-08,1.2671400080841626e-05,1.4225220605504655e-05,462.3295683404223,2.610261790539873,8.5542503229189e-05
2017-01-07 14:01:00,74.476,0.0,0.00013549305137416923,370.74242862824894,2.95594140033908e-08,1.2668061542099726e-05,1.4228009815885328e-05,445.2185656516892,2.513654955124713,8.554555329178612e-05
2017-01-07 14:02:00,74.375,0.0,0.00013419945031500902,352.6194280379327,2.95594140033908e-08,1.2664825963760182e-05,1.4230697790792437e-05,426.99456377369546,2.410764248948145,8.55486827442849e-05
2017-01-07 14:03:00,74.967,0.0,0.00011860824170639717,321.38626292940836,2.95594140033908e-08,1.2681670492769876e-05,1.4213344934770533e-05,396.3533830397651,2.237767519420535,8.555124192517718e-05
2017-01-07 14:04:00,75.883,0.0,0.0001353743738548019,364.75740623856865,2.95594140033908e-08,1.2653715094535075e-05,1.4240931685193187e-05,440.6405431705997,2.487807944730125,8.555472834186756e-05
