,Demand,Lost Load,Electric resistance production,Curtailment
2017-01-07 06:08:00,0.0,0.0,0.0,0.0
2017-01-07 06:09:00,0.0,0.0,0.0,0.0
2017-01-07 06:10:00,11.851,7.046894721158463e-07,11.851134257504652,0.00013496219412445498
2017-01-07 06:11:00,11.851,7.047147045374401e-07,11.851134070038166,0.00013477475286904905
2017-01-07 06:12:00,0.0,0.0,0.0,0.0
2017-01-07 06:13:00,0.0,0.0,0.0,0.0
2017-01-07 06:14:00,7.967,7.061267405503087e-07,7.967094995048145,9.570117488522101e-05
2017-01-07 06:15:00,7.967,7.063003272301697e-07,7.9670925014613525,9.3207761680425e-05
2017-01-07 06:16:00,7.967,7.063691207312303e-07,7.967091099959048,9.180632816896406e-05
2017-01-07 06:17:00,22.333,7.03445674638968e-07,22.33318265729635,0.0001833607420280714
2017-01-07 06:18:00,22.333,7.033979857199921e-07,22.333184671568546,0.00018537496653436847
2017-01-07 06:19:00,22.333,7.034369697761825e-07,22.333182692170034,0.00018339560700653124
2017-01-07 06:20:00,14.367,7.043301270783555e-07,14.36714981719163,0.00015052152175520916
2017-01-07 06:21:00,14.367,7.039901223668905e-07,14.367159706573503,0.00016041056362503525
2017-01-07 06:22:00,14.367,7.041925826500346e-07,14.367153390473659,0.00015409466624127788
2017-01-07 06:23:00,0.0,0.0,0.0,0.0
2017-01-07 06:24:00,0.0,0.0,0.0,0.0
2017-01-07 06:25:00,0.0,0.0,0.0,0.0
2017-01-07 06:26:00,0.0,0.0,0.0,0.0
2017-01-07 06:27:00,0.0,0.0,0.0,0.0
2017-01-07 06:28:00,0.0,0.0,0.0,0.0
2017-01-07 06:29:00,0.0,0.0,0.0,0.0
2017-01-07 06:30:00,0.0,0.0,0.0,0.0
2017-01-07 06:31:00,0.0,0.0,0.0,0.0
2017-01-07 06:32:00,0.0,0.0,0.0,0.0
2017-01-07 06:33:00,0.0,0.0,0.0,0.0
2017-01-07 06:34:00,0.0,0.0,0.0,0.0
2017-01-07 06:35:00,0.0,0.0,0.0,0.0
2017-01-07 06:36:00,0.0,0.0,0.0,0.0
2017-01-07 06:37:00,0.0,0.0,0.0,0.0
2017-01-07 06:38:00,0.0,0.0,0.0,0.0
2017-01-07 06:39:00,0.0,0.0,0.0,0.0
2017-01-07 06:40:00,0.0,0.0,0.0,0.0
2017-01-07 06:41:00,0.0,0.0,0.0,0.0
2017-01-07 06:42:00,0.0,0.0,0.0,0.0
2017-01-07 06:43:00,0.0,0.0,0.0,0.0
2017-01-07 06:44:00,0.0,0.0,0.0,0.0
2017-01-07 06:45:00,0.0,0.0,0.0,0.0
2017-01-07 06:46:00,0.0,0.0,0.0,0.0
2017-01-07 06:47:00,0.0,0.0,0.0,0.0
2017-01-07 06:48:00,0.0,0.0,0.0,0.0
2017-01-07 06:49:00,0.0,0.0,0.0,0.0
2017-01-07 06:50:00,0.0,0.0,0.0,0.0
2017-01-07 06:51:00,0.0,0.0,0.0,0.0
2017-01-07 06:52:00,0.0,0.0,0.0,0.0
2017-01-07 06:53:00,0.0,0.0,0.0,0.0
2017-01-07 06:54:00,0.0,0.0,0.0,0.0
2017-01-07 06:55:00,0.0,0.0,0.0,0.0
2017-01-07 06:56:00,0.0,0.0,0.0,0.0
2017-01-07 06:57:00,0.0,0.0,0.0,0.0
2017-01-07 06:58:00,0.0,0.0,0.0,0.0
2017-01-07 06:59:00,0.0,0.0,0.0,0.0
2017-01-07 07:00:00,0.0,0.0,0.0,0.0
2017-01-07 07:01:00,0.0,0.0,0.0,0.0
2017-01-07 07:02:00,0.0,0.0,0.0,0.0
